state,year,highway,gsp,totpub,pvtcap,area,roway,tcapo,tmant,capui,capul,caput,mntui,mntul,mntut,capri,caprl,caprt,mntri,mntrl,mntrt,capti,captl,captt,mntti,mnttl,mnttt,milri,milrl,milrt,milui,miluf,milul,milut,miltt,umilgt4,umille4,rmilgt4,rmille4,rpassveh,rtusing,rtrucom,upassveh,utrusing,utrucomb,alaska,newyork,californ,sotheas,midwest,mortheas,vmtri,vmtrl,vmtrt,vmtui,vmtuf,vmtul,vmtut,cstatmh,cstadmrd,cfedroad,ctal,mstadmh,mladmrd,mredroad,mtal,adm_misc,law_safe,interest,bondret,tdisb,pgsal93,pgsal94,pbcon93,pexcav93,prestl93,pststl93,pstcon93,pop90,sqmiles,popdens,bondrate,locshr97,statenam,irate,totcap,milrlsq,milrisq,highinf,capnew,totexp,lnvmtri,lnvmtrl,lnvmtui,lnvmtul,lnmilri,lnmilrl,lnmilui,lnmilul,vmttot,miletot,vcri,vcrl,vcui,vcul,lnvcri,lnvcrl,lnvcui,lnvcul,lnrtruc,lnutruc,rtruc,ortruc,rtruc2,utruc,outruc,utruc2,rtrusing,rtrus,ortrus,rtrus2,utrus,outrus,utrus2,rcar,orcar,rcar2,ucar,oucar,ucar2,lnrmgt4,lnrmle4,lnumgt4,lnumle4,lnmigt4,lnmile4,miles,traffic,purbmil,umiles,rmiles,mill,lnmill,mili4,mili5,lnmili4,lnmili5,pfwy,lnpfwy,uwidth,rwidth,width,lnuwidth,lnrwidth,purbtraf,urbtraf,rurtraf,ptruck,truck,urbtruck,rurtruck,miles2,traffic2,rvc,uvc,auto,comb,sing,lnumiles,lnrmiles,lnauto,lncomb,lnsing,lnpurbm,lnmiles,x,mgsal93,mgsal94,mbcon93,mexcav93,mrestl93,mststl93,mstcon93,mpopdens,pexcav,psurf,pstruc,pdens,plabor,pconst,lnpexcav,lnpsurf,lnplabor,lnpstruc,lnpdens,lnpconst,pkap,lnpkap,lnirate,lnwidth,pgt4,lnpgt4,mpsqm,lnmpsqm,varexp,lnvarexp,lntotexp,h,lnh,vmt,lnvmt,iaa,iac,ias,ial,iau,iai,iam,icc,ics,icl,icu,ici,icm,iss,isl,isu,isi,ism,ill,ilu,ili,ilm,iuu,iui,ium,iii,iim,imm
MD,1988.0,11768.02,73671.0,31062.85,56167.54,12407.0,105000000.0,1020000000.0,296000000.0,79085.0,154176.0,233261.0,6980.0,84597.0,91577.0,113671.0,124701.0,238372.0,6588.0,2582.0,9170.0,192756.0,278877.0,471633.0,13568.0,87179.0,100747.0,227.0,15415.0,15642.0,255.0,224.0,13192.0,13671.0,29313.0,187.0,68.0,123.0,104.0,63.7,17.2,19.1,65.3,33.5,1.2,0.0,0.0,0.0,1.0,0.0,0.0,2913.0,9889.0,12802.0,9086.0,3406.0,16602.0,29094.0,511583.0,232055.0,14907.0,758545.0,149131.0,200106.0,0.0,349237.0,108364.0,161614.0,81688.0,330508.0,1789956.0,32930.0,34052.0,26.2,2.48,0.505,0.808,286.69,4860.0,12407.0,391.71436,AAA,0.8041644,Maryland,0.0475,471633.0,2.3762222e+08,51529.0,14121.623,670777.06,1.04150206e+06,7.9769387,9.199179,9.432844,9.7172785,5.42495,9.643096,6.1717005,9.487366,41896.0,29313.0,12.832599,0.641518,26.079332,1.25849,2.5519888,-0.44391802,3.2611432,0.22991258,7.8018746,5.8554387,2445.1821,0.0004089675,5.9789155e+06,349.12802,0.0028642789,121890.37,17.2,2201.944,0.00045414414,4.848558e+06,9746.49,9746.49,9.499406e+07,8154.874,8154.874,6.6501972e+07,18998.383,18998.383,3.6093856e+08,4.8121843,4.644391,5.2311087,4.2195077,5.7365723,5.1474943,29313.0,41896.0,0.4663801,13671.0,15642.0,28607.0,10.261407,172.0,310.0,5.1474943,5.7365723,0.024084877,-3.7261713,5.2,4.6255507,2.5186152,1.6486586,1.5315955,0.69443387,29094.002,12802.0,0.35188907,14742.744,10095.618,4647.126,8.59252e+08,1.7552748e+09,0.5219341,1.3221469,27153.258,2794.31,11948.435,9.523032,9.657715,10.209252,7.9353404,9.388355,-0.7627543,10.285787,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.8255934,1.0105647,2.989037,2.7461746,1.2454144,4.8251953,-0.19165286,0.010509268,0.21946831,1.0949513,1.0102088,1.5738512,22.883263,3.1304057,-3.0470257,0.9237093,0.64315355,-0.44137177,2.362618,0.8597703,370725.0,12.8232155,13.856174,0.50583106,-0.6815525,41896.004,10.642945,104.228836,81.01389,95.84809,2.2406073,0.10729177,-31.107855,105.01019,62.969627,74.499794,1.7415558,0.083394624,-24.179186,81.621216,88.14121,2.0604465,0.098664746,-28.60656,96.56662,0.04816634,0.0023064513,-0.66872555,2.2574043,0.00011044472,-0.03202201,0.10809609,9.284366,-31.341057,105.79741
MA,1988.0,9194.59,116523.0,32265.09,80736.98,10555.0,48478000.0,857000000.0,400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,10765.0,10927.0,403.0,199.0,19034.0,19636.0,30563.0,323.0,80.0,59.0,103.0,74.8,15.5,9.7,85.4,11.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,2176.0,6615.0,8791.0,10733.0,4490.0,23334.0,38557.0,871763.0,141997.0,40.0,1013800.0,146150.0,244043.0,0.0,390193.0,214814.0,177051.0,174108.0,245634.0,2215600.0,31609.0,33039.0,28.96,3.17,0.719,0.683,93.8,5996.0,10555.0,568.072,A1,0.89364433,Massachusetts,0.0535,0.0,1.15885224e+08,26244.0,11033.508,590292.7,982157.7,7.6852436,8.797095,9.630563,10.057667,5.0875964,9.284056,6.4002576,9.853982,47348.0,30563.0,13.432098,0.6144914,25.287374,1.2259115,2.5976472,-0.48696032,3.2303052,0.20368467,6.7484393,7.2356567,852.727,0.0011727082,727143.3,1388.052,0.0007204341,1.9266882e+06,15.5,1362.605,0.0007338884,1.8566924e+06,4241.27,4241.27,1.7988372e+07,6575.6685,6575.6685,4.3239412e+07,32927.68,32927.68,1.0842321e+09,4.0775375,4.634729,5.7776523,4.3820267,5.9454207,5.209486,30563.0,47348.004,0.6424762,19636.0,10927.0,29799.0,10.30223,183.0,382.0,5.209486,5.9454207,0.024997545,-3.6889777,5.4044666,4.0925927,2.701818,1.6872258,1.4091787,0.8143322,38557.0,8791.0,0.16568078,7844.654,5629.3223,2215.332,9.3409696e+08,2.2418335e+09,0.56761247,2.7787147,39503.348,2240.779,5603.875,9.885119,9.298992,10.584141,7.714579,8.631213,-0.4424255,10.327545,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.0552948,1.1170211,2.5445912,3.9825578,1.195454,4.716907,0.053820115,0.110665396,0.17852603,0.93397,1.3819243,1.5511533,19.313965,2.9608283,-2.9280736,0.99392486,0.6761062,-0.3914051,2.8955946,1.0631905,391865.0,12.878673,13.797507,0.7123362,-0.33920532,47348.0,10.76528,112.02403,81.65219,91.35397,1.8895446,1.1712981,-30.991144,109.30819,59.514732,66.586174,1.3772532,0.85373694,-22.588856,79.67266,74.49784,1.5408962,0.95517665,-25.272827,89.139244,0.031871542,0.019756654,-0.5227374,1.8437356,0.012246829,-0.32403642,1.1429019,8.573615,-30.239813,106.65819
MI,1988.0,18795.61,145444.0,49760.76,137614.7,96810.0,27093000.0,670000000.0,741000000.0,261891.0,64799.0,326690.0,44295.0,9639.0,53934.0,71861.0,162943.0,234804.0,13758.0,26571.0,40329.0,333752.0,227742.0,561494.0,58053.0,36210.0,94263.0,741.0,88744.0,89485.0,499.0,221.0,27454.0,28174.0,117659.0,301.0,198.0,92.0,649.0,72.2,18.6,9.2,72.7,19.5,7.8,0.0,0.0,0.0,0.0,1.0,0.0,5614.0,25620.0,31234.0,12601.0,3965.0,36419.0,52985.0,546839.0,276700.0,31.0,823570.0,138763.0,642977.0,300.0,782040.0,205891.0,201637.0,35674.0,44873.0,2093685.0,30074.0,30740.0,26.64,3.23,0.557,1.1,268.24,9368.0,96810.0,96.76686,A1,0.9190062,Michigan,0.0535,561494.0,7.8754975e+09,549081.0,22554.73,1.2066781e+06,1.7084691e+06,8.6330185,10.151129,9.715108,10.502846,6.6080008,11.393511,6.5792513,10.220267,84219.0,117659.0,7.576248,0.28869557,23.008333,1.3265462,2.0250182,-1.2423825,3.1358564,0.28257874,7.963296,8.326717,2873.5278,0.00034800428,8.257163e+06,4132.83,0.00024196494,1.7080284e+07,18.6,5809.524,0.00017213114,3.3750572e+07,10332.075,10332.075,1.0675178e+08,22550.947,22550.947,5.085452e+08,38520.094,38520.094,1.4837976e+09,4.5217886,6.475433,5.7071104,5.288267,5.9738097,6.7417006,117659.0,84219.0,0.2394547,28174.0,89485.0,116198.0,11.663051,847.0,393.0,6.7417006,5.9738097,0.01241724,-4.3886695,4.8096194,3.3724697,2.2649312,1.5706179,1.2156453,0.6291336,52985.0,31234.0,0.27485433,23147.957,14464.905,8683.052,1.384364e+10,7.09284e+09,0.53504276,1.9792265,61071.04,7006.358,16141.6,10.246155,11.401826,11.0197935,8.854573,9.689155,-1.429391,11.675546,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.0752689,1.0275359,3.3537195,0.6783992,1.1374003,5.4565244,0.072570734,0.027163621,0.1287452,1.21007,-0.38801935,1.696812,10.255723,2.3278358,-2.9280736,0.8175444,0.31693548,-1.149057,1.2153599,0.19504027,501791.0,13.125939,14.351109,0.56949157,-0.5630113,84219.0,11.341176,121.43585,97.57557,106.772484,1.4187455,0.2993375,-32.266766,128.66211,78.403465,85.79333,1.1399838,0.24052227,-25.926842,103.38197,93.879715,1.2474321,0.26319253,-28.370558,113.12617,0.016575325,0.003497186,-0.37697542,1.5031705,0.0007378623,-0.079537086,0.3171501,8.573615,-34.18686,136.31837
MN,1988.0,13417.77,73407.0,30670.27,66077.3,86943.0,50735000.0,982000000.0,493000000.0,75321.0,372047.0,447368.0,6115.0,34480.0,40595.0,14920.0,145839.0,160759.0,5342.0,51908.0,57250.0,90241.0,517886.0,608127.0,11457.0,86388.0,97845.0,681.0,114392.0,115073.0,233.0,130.0,14523.0,14886.0,129959.0,106.0,127.0,20.0,661.0,76.4,12.7,10.9,83.1,12.5,4.4,0.0,0.0,0.0,0.0,1.0,0.0,3201.0,16769.0,19970.0,5320.0,2216.0,13656.0,21192.0,587390.0,689936.0,163.0,1277489.0,144894.0,395181.0,1508.0,541583.0,146484.0,180927.0,56605.0,127591.0,2330679.0,28052.0,28807.0,19.28,1.58,0.447,0.825,150.76,4432.0,86943.0,50.975925,AA1,0.8862966,Minnesota,0.0495,608127.0,1.308553e+10,463761.0,16101.323,797015.5,1.2222715e+06,8.0712185,9.727287,8.927446,9.5219345,6.5235624,11.647387,5.894403,9.583488,41162.0,129959.0,4.7004404,0.14659242,20.76033,0.9403016,1.5476562,-1.9200993,3.033044,-0.061554614,7.685579,6.8378134,2176.73,0.00045940472,4.738153e+06,932.448,0.0010724459,869459.3,12.7,2536.19,0.00039429223,6.4322595e+06,2649.0,2649.0,7.017201e+06,15257.08,15257.08,2.327785e+08,17610.55,17610.55,3.1013152e+08,2.9957323,6.493754,4.6634393,4.8441873,4.836282,6.669498,129959.0,41162.0,0.11454382,14886.0,115073.0,128915.0,11.766909,788.0,126.0,6.669498,4.836282,0.008033303,-4.8241596,4.3648067,3.0881057,2.128854,1.4735739,1.1275579,0.51484376,21191.998,19970.0,0.20150547,8294.368,3581.448,4712.92,1.6889342e+10,1.6943103e+09,0.40650505,1.8107619,32867.633,3109.178,5185.19,9.608176,11.653322,10.400244,8.042113,8.553562,-2.1667979,11.774974,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.5259829,0.74365216,2.383609,0.3573747,1.0609281,3.653244,-0.6424866,-0.2961819,0.0591441,0.86861575,-1.0289705,1.2956156,6.1328225,1.8136551,-3.0057826,0.7555838,0.13785557,-1.9815487,1.494761,0.40196633,425256.0,12.960446,14.016222,0.6591676,-0.41677746,41162.0,10.625271,108.16507,83.63994,88.95913,0.615113,-3.0803638,-31.260872,122.4626,64.67558,68.78872,0.47564355,-2.3819282,-24.172844,94.69567,73.16343,0.5058927,-2.53341,-25.710148,100.71797,0.0034980243,-0.01751741,-0.1777743,0.6964202,0.08772371,0.8902584,-3.487534,9.034729,-35.393013,138.65001
MS,1988.0,6702.66,31247.0,12439.9,35823.48,48434.0,16691000.0,353000000.0,241000000.0,29423.0,91401.0,120824.0,770.0,2241.0,3011.0,33549.0,279203.0,312752.0,3231.0,31588.0,34819.0,62972.0,370604.0,433576.0,4001.0,33829.0,37830.0,558.0,64372.0,64930.0,127.0,40.0,7737.0,7904.0,72834.0,0.0,127.0,0.0,558.0,63.9,17.2,18.9,68.1,16.3,15.6,0.0,0.0,0.0,1.0,0.0,0.0,2951.0,14570.0,17521.0,1383.0,185.0,7150.0,8718.0,332638.0,119737.0,3341.0,455716.0,54704.0,188186.0,591.0,243481.0,33114.0,64869.0,31566.0,57622.0,886368.0,20777.0,21643.0,29.17,1.65,0.334,0.74,211.04,2592.0,48434.0,53.516125,AA,0.8440328,Mississippi,0.0515,433576.0,4.1437545e+09,311364.0,8043.1924,414224.4,550037.4,7.989899,9.5867195,7.3575563,8.874867,6.324359,11.072434,5.117994,8.95377,26239.0,72834.0,5.2885303,0.22634065,9.389221,0.9241308,1.6655405,-1.4857141,2.2395623,-0.078901656,8.105147,7.2152457,3311.469,0.0003019808,1.0965826e+07,1360.008,0.00073528977,1.8496219e+06,17.2,3013.612,0.0003318277,9.081858e+06,1421.0339,1421.0339,2.0193375e+06,11195.919,11195.919,1.2534861e+08,5936.958,5936.958,3.5247468e+07,,6.324359,,4.8441873,,6.529419,72834.0,26239.0,0.108520746,7904.0,64930.0,72109.0,11.185934,685.0,0.0,6.529419,,0.009954142,-4.6097665,3.0,3.0,2.1251066,1.0986123,1.0986123,0.33225352,8718.0,17521.0,0.34704536,9106.123,2781.042,6325.081,5.3047916e+09,6.884851e+08,0.44805425,0.97953296,17132.877,4671.477,4434.646,8.975124,11.081065,9.7487545,8.44923,8.397203,-2.220814,11.195938,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.5492859,1.125121,2.2907646,0.37518317,0.7857872,3.9651713,-0.59913623,0.11789058,-0.24106923,0.8288856,-0.98034096,1.377549,5.6872396,1.738225,-2.9661734,0.75382197,0.0,,1.5037783,0.40798083,135812.97,11.819034,13.217742,0.48661074,-0.7202908,26239.0,10.175002,95.038216,82.36947,81.862274,-2.3501246,1.1492864,-28.916496,109.146454,71.38949,70.949905,-2.0368495,0.9960847,-25.061882,94.59706,70.51302,-2.0243073,0.9899512,-24.907562,94.01457,0.058114372,-0.02841979,0.71505314,-2.698996,0.013898189,-0.3496839,1.3198956,8.798184,-33.209095,125.34903
MO,1988.0,11494.67,77844.0,24607.52,75102.29,69709.0,24073000.0,537000000.0,424000000.0,77983.0,107018.0,185001.0,22339.0,13394.0,35733.0,60904.0,254227.0,315131.0,16829.0,103110.0,119939.0,138887.0,361245.0,500132.0,39168.0,116504.0,155672.0,812.0,104825.0,105637.0,366.0,276.0,15508.0,16150.0,121787.0,210.0,156.0,5.0,807.0,63.7,12.0,24.3,80.2,14.6,5.2,0.0,0.0,0.0,0.0,1.0,0.0,5504.0,19464.0,24968.0,8497.0,2326.0,17463.0,28286.0,464531.0,199354.0,1342.0,665227.0,210439.0,222712.0,8.0,433159.0,177283.0,124228.0,11715.0,19421.0,1431033.0,24807.0,25475.0,23.54,2.57,0.606,0.771,317.83,5158.0,69709.0,73.99332,AAA,0.7292106,Missouri,0.0475,500132.0,1.0988281e+10,659344.0,13793.604,655196.2,1.1123792e+06,8.613231,9.876322,9.289429,9.767839,6.6995006,11.560047,6.464588,9.649112,53254.0,121787.0,6.778325,0.1856809,16.858255,1.126064,1.91373,-1.6837257,2.8248405,0.11872834,8.710656,7.2936106,6067.2236,0.00016482003,3.6811204e+07,1470.872,0.00067986886,2.1634642e+06,12.0,2996.16,0.00033376054,8.976975e+06,4129.7563,4129.7563,1.7054886e+07,15904.616,15904.616,2.5295682e+08,22685.371,22685.371,5.1462605e+08,1.609438,6.6933236,5.3471074,5.049856,5.370638,6.8700533,121787.0,53254.0,0.13260858,16150.0,105637.0,120333.0,11.698018,963.0,215.0,6.8700533,5.370638,0.0119388765,-4.427955,4.7213116,3.018473,2.1523237,1.5520866,1.104751,0.5311526,28286.0,24968.0,0.2753598,14664.012,5600.6284,9063.384,1.4832074e+10,2.8359885e+09,0.43608144,2.4314725,38589.99,7538.0957,7125.916,9.689675,11.567764,10.560748,8.927725,8.871493,-2.0203536,11.710029,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.8555544,0.90796536,3.2630196,0.5187417,0.938202,5.0265393,-0.15600559,-0.09654905,-0.06378998,1.1826531,-0.6563492,1.6147318,5.3798532,1.682661,-3.0470257,0.76654804,0.18251273,-1.7009354,1.7470771,0.5579442,457183.06,13.032839,13.922011,0.56304485,-0.574396,53254.0,10.882828,111.5294,94.283455,93.689606,-0.6736699,-1.0196302,-32.17887,123.666664,79.70427,79.202255,-0.5694994,-0.86196333,-27.203007,104.543915,78.70339,-0.56591237,-0.85653424,-27.031668,103.885445,0.0040691616,0.006158862,0.1943697,-0.74698246,0.0093217185,0.29418743,-1.1305921,9.284366,-35.68076,137.12477
MT,1988.0,4165.41,10336.0,6209.03,19331.31,147046.0,12105000.0,236000000.0,75017000.0,4706.0,35328.0,40034.0,485.0,2123.0,2608.0,33598.0,116717.0,150315.0,3520.0,12273.0,15793.0,38304.0,152045.0,190349.0,4005.0,14396.0,18401.0,1137.0,66251.0,67388.0,53.0,0.0,2327.0,2380.0,69768.0,0.0,53.0,0.0,1137.0,53.1,31.6,15.3,67.5,22.9,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1928.0,4574.0,6502.0,184.0,0.0,1839.0,2023.0,191070.0,57652.0,9217.0,257939.0,42087.0,21356.0,4178.0,67621.0,16843.0,19424.0,13958.0,1723.0,377508.0,23744.0,24180.0,23.74,3.21,0.513,0.655,238.51,808.0,147046.0,5.4948792,AA,0.6836273,Montana,0.0515,190349.0,4.389195e+09,1.292769e+06,4998.492,257422.34,312090.34,7.5642385,8.4281435,5.214936,7.5169773,7.0361485,11.101206,3.9702919,7.752335,8525.0,69768.0,1.6956904,0.06904047,3.471698,0.7902879,0.52809,-2.6730626,1.2446438,-0.23535794,6.902548,5.26893,994.806,0.0010052212,989639.0,194.20801,0.005149118,37716.75,31.6,2054.632,0.00048670516,4.221513e+06,463.267,463.267,214616.31,3452.562,3452.562,1.1920184e+07,1365.525,1365.525,1.8646585e+06,,7.0361485,,3.9702919,,7.0817084,69768.0,8525.0,0.03411306,2380.0,67388.0,68578.0,11.135727,1190.0,0.0,7.0817084,,0.01705653,-4.0712223,3.0,3.0,2.0674665,1.0986123,1.0986123,0.23730205,2023.0,6502.0,0.43482852,3706.913,657.475,3049.438,4.867574e+09,7.2675624e+07,0.08160042,0.54466057,4818.087,1189.014,2517.8992,7.7748556,11.118222,8.480132,7.0808797,7.83118,-3.378075,11.15293,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.0686108,0.9156796,2.6502013,0.03852271,0.89799935,4.634492,0.066359475,-0.08808879,-0.10758594,0.9746356,-3.2565074,1.5335265,3.6896908,1.3055427,-2.9661734,0.72632396,0.0,,0.47446376,-0.74557006,54668.0,10.909034,12.651048,0.42610615,-0.8530668,8525.0,9.050758,71.91264,60.046795,66.40944,-0.91234297,-0.74700457,-25.153542,94.57832,50.13886,55.451645,-0.7618031,-0.6237461,-21.003117,78.97256,61.32738,-0.8425248,-0.6898392,-23.228638,87.34061,0.011574734,0.009477115,0.31911856,-1.1998985,0.0077596344,0.26128662,-0.9824481,8.798184,-33.081524,124.387856
NE,1988.0,5423.15,23621.0,14873.69,29966.97,77358.0,9036000.0,289000000.0,160000000.0,25688.0,33785.0,59473.0,469.0,7711.0,8180.0,35102.0,177951.0,213053.0,3277.0,25251.0,28528.0,60790.0,211736.0,272526.0,3746.0,32962.0,36708.0,437.0,87211.0,87648.0,44.0,11.0,4999.0,5054.0,92702.0,11.0,33.0,0.0,437.0,50.3,23.6,26.1,68.8,25.5,5.7,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,6966.0,8960.0,734.0,93.0,4834.0,5661.0,244117.0,192494.0,34598.0,471209.0,51993.0,126578.0,444.0,179015.0,43639.0,42934.0,15349.0,27120.0,779266.0,23214.0,23698.0,22.21,2.03,0.781,0.635,304.88,1593.0,77355.0,20.593369,X,0.88750255,Nebraska,0.0555,272526.0,7.6057585e+09,190969.0,6507.78,361181.78,484462.78,7.597898,8.848797,6.717805,8.48343,6.079933,11.376085,4.0073333,8.5169935,14621.0,92702.0,4.562929,0.079875246,15.036364,0.9669934,1.5179647,-2.5272894,2.7104714,-0.03356361,7.757291,5.776652,2338.56,0.00042761356,5.468863e+06,322.677,0.0030990744,104120.44,23.6,2114.56,0.0004729116,4.471364e+06,1443.555,1443.555,2.083851e+06,4506.88,4506.88,2.0311966e+07,3894.768,3894.768,1.5169219e+07,,6.079933,2.3978953,3.4965076,2.3978953,6.152733,92702.0,14621.0,0.05451878,5054.0,87648.0,92210.0,11.431824,470.0,11.0,6.152733,2.3978953,0.005307329,-5.2386665,3.75,3.0,2.0646665,1.3217559,1.0986123,0.38718283,5661.0,8960.0,0.4253712,6219.352,1766.232,4453.12,8.593661e+09,2.1377365e+08,0.2925718,2.447852,8401.648,2661.237,3558.1152,8.527935,11.381084,9.036183,7.886546,8.176987,-2.90921,11.437145,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.6757881,0.8566657,3.4049003,0.14437303,0.87795466,4.937354,-0.3918757,-0.15470755,-0.13016033,1.2252157,-1.9353548,1.5968295,3.8961596,1.3599913,-2.8913722,0.72496873,0.022869023,-3.777972,1.1983505,0.18094607,123281.0,11.722221,13.0907955,0.42255002,-0.86144745,14621.001,9.590214,81.65261,71.264275,73.88875,-1.1761526,-1.3979658,-26.12697,103.348145,62.19761,64.48818,-1.0265155,-1.2201083,-22.80294,90.19958,66.86311,-1.0643193,-1.2650416,-23.642712,93.521385,0.016941711,0.020136787,0.37634197,-1.4886626,0.023934426,0.44731712,-1.7694128,8.360033,-33.069042,130.80829
NV,1988.0,2782.09,19384.0,6537.47,25760.58,110567.0,12154000.0,188000000.0,76017000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,40701.0,41181.0,65.0,32.0,4500.0,4597.0,45778.0,20.0,45.0,0.0,480.0,59.5,14.3,26.2,811.0,13.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1522.0,2957.0,4479.0,1147.0,579.0,4692.0,6418.0,168487.0,10557.0,2640.0,181684.0,58785.0,14637.0,1048.0,74470.0,23360.0,24049.0,12962.0,16786.0,333311.0,30929.0,31617.0,20.67,3.33,0.478,0.994,236.94,1284.0,110567.0,11.612868,AA,0.60408235,Nevada,0.0515,0.0,1.6565714e+09,230400.0,3338.508,171933.17,219342.17,7.3277807,7.9919305,7.453562,8.453614,6.173786,10.614008,4.574711,8.411833,10897.0,45778.0,3.1708333,0.07265178,17.793814,1.0426667,1.1539944,-2.6220775,2.878851,0.041781534,7.0677443,5.902158,1173.498,0.0008521531,1.3770976e+06,365.826,0.00273354,133828.66,14.3,640.497,0.0015612876,410236.4,847.17596,847.17596,717707.1,2665.005,2665.005,7.1022515e+06,52049.98,52049.98,2.7092004e+09,,6.173786,2.9957323,3.8066626,2.9957323,6.263398,45778.0,57741.98,0.10041942,4597.0,41181.0,45201.0,10.718875,525.0,20.0,6.263398,2.9957323,0.012604307,-4.373717,3.9230769,3.0,2.123508,1.3668762,1.0986123,0.9224308,53262.984,4479.0,0.05242281,3026.997,1213.002,1813.9951,2.0956253e+09,3.3341363e+09,0.1331514,16.889582,54714.984,1539.324,1487.673,8.433159,10.625732,10.909893,7.3390985,7.3049684,-2.2983997,10.731559,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.1085588,0.79726607,2.9601607,0.08141383,1.1697364,4.8659854,0.10306077,-0.22656682,0.15677841,1.0852436,-2.5082102,1.5822692,3.7558036,1.3233023,-2.9661734,0.7530694,0.036697246,-3.3050535,0.4140295,-0.88181806,47409.0,10.766567,12.2983885,0.89927703,-0.106164135,57741.98,10.963739,119.025764,80.06878,79.69643,1.7104356,-2.4718199,-32.360634,117.08016,53.862366,53.61188,1.1506122,-1.6627963,-21.76904,78.759964,53.362564,1.1452613,-1.6550635,-21.667803,78.3937,0.02457947,-0.035520785,-0.46503195,1.6824768,0.051332526,0.67203647,-2.431415,8.798184,-31.831665,115.16635
NH,1988.0,2401.79,20324.0,4541.76,13374.03,9351.0,12158000.0,117000000.0,146000000.0,12430.0,58654.0,71084.0,555.0,9422.0,9977.0,39037.0,61431.0,100468.0,3699.0,44484.0,48183.0,51467.0,120085.0,171552.0,4254.0,53906.0,58160.0,176.0,11893.0,12069.0,48.0,40.0,2781.0,2869.0,14938.0,13.0,35.0,21.0,155.0,74.5,21.8,3.7,69.3,27.0,3.7,0.0,0.0,0.0,0.0,0.0,1.0,1330.0,5025.0,6355.0,712.0,448.0,2552.0,3712.0,86815.0,37694.0,0.0,124509.0,98469.0,66752.0,106.0,165327.0,96270.0,46005.0,21722.0,4533.0,458366.0,26304.0,27116.0,26.4,3.09,0.482,1.115,209.89,1105.0,9351.0,118.16918,AA,0.7254332,New Hampshire,0.0515,171552.0,1.4144346e+08,30976.0,2882.148,148430.62,348865.62,7.192934,8.522181,7.056175,7.8446326,5.170484,9.383705,4.477337,7.930566,10067.0,14938.0,7.556818,0.42251745,13.181818,0.9176555,2.0224502,-0.8615245,2.5788386,-0.08593321,5.46016,4.9224887,235.13501,0.004252876,55288.47,137.344,0.0072809877,18863.375,21.8,1385.3899,0.0007218184,1.9193054e+06,1002.24,1002.24,1.004485e+06,4734.475,4734.475,2.2415254e+07,2572.416,2572.416,6.6173245e+06,3.0445225,5.043425,2.5649493,3.5553482,3.5263605,5.247024,14938.0,10067.0,0.19206052,2869.0,12069.0,14674.0,9.593833,190.0,34.0,5.247024,3.5263605,0.01767305,-4.0357146,3.8125,3.3579545,2.223587,1.3382851,1.211332,0.3687295,3712.0,6355.0,0.27417392,2760.109,1139.584,1620.5249,2.2314384e+08,1.0134449e+08,0.4603151,0.68789655,7306.891,372.479,2387.63,7.961719,9.398396,8.896573,5.920181,7.7780566,-1.6499448,9.611664,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.0286627,1.0182788,3.0038304,0.8284435,0.9948186,5.0507717,0.028259592,0.018113788,-0.005194842,1.0998883,-0.18820661,1.619541,9.936445,2.2962093,-2.9661734,0.7991217,0.15178572,-1.8852855,1.5974762,0.46842504,200435.0,12.208245,12.762442,0.584444,-0.53709435,10067.0,9.217018,79.14901,52.66932,69.19805,-0.04621629,0.16115063,-26.388779,85.51087,35.048542,46.0475,-0.030754402,0.1072369,-17.560284,56.902786,60.498165,-0.040405773,0.14089008,-23.071064,74.76006,2.6986383e-05,-9.4098265e-05,0.015408802,-0.049931075,0.00032810934,-0.053728636,0.17410365,8.798184,-28.509861,92.38408
