source_file,column,dtype,non_null,sample_values
Highway5.dta,state,object,54,AL; AK; AZ
Highway5x.dta,vmtuf,float64,51,326.0; 0.0; 1344.0
Highway5x.dta,vmtul,float64,51,18425.0; 1386.0; 16912.0
Highway5x.dta,vmtut,float64,51,22959.0; 1836.0; 21259.0
Highway5x.dta,cstatmh,float64,51,372518.0; 213000.0; 488274.0
Highway5x.dta,cstadmrd,float64,51,42839.0; 60888.0; 205236.0
Highway5x.dta,cfedroad,float64,51,974.0; 4942.0; 19046.0
Highway5x.dta,ctal,float64,51,416331.0; 278830.0; 712556.0
Highway5x.dta,mstadmh,float64,51,134450.0; 121900.0; 68907.0
Highway5x.dta,mladmrd,float64,51,299897.0; 34166.0; 84516.0
Highway5x.dta,mredroad,float64,51,14.0; 831.0; 10641.0
Highway5x.dta,mtal,float64,51,434361.0; 156897.0; 164064.0
Highway5x.dta,adm_misc,float64,51,72558.0; 30088.0; 70527.0
Highway5x.dta,law_safe,float64,51,57359.0; 40116.0; 78446.0
Highway5x.dta,interest,float64,51,11128.0; 13411.0; 154305.0
Highway5x.dta,bondret,float64,51,20436.0; 21623.0; 359239.0
Highway5x.dta,tdisb,float64,51,1012173.0; 540965.0; 1539137.0
Highway5x.dta,pgsal93,float64,51,25028.0; 37943.0; 24995.0
Highway5x.dta,pgsal94,float64,51,26376.0; 38889.0; 25906.0
Highway5x.dta,pbcon93,float32,51,25.489999771118164; 31.889999389648438; 22.420000076293945
Highway5x.dta,pexcav93,float32,51,1.600000023841858; 1.8899999856948853; 5.210000038146973
Highway5x.dta,prestl93,float32,51,0.4189999997615814; 0.46399998664855957; 0.3540000021457672
Highway5x.dta,pststl93,float32,51,0.8619999885559082; 1.1610000133514404; 1.6200000047683716
Highway5x.dta,pstcon93,float32,51,217.89999389648438; 855.030029296875; 206.72999572753906
Highway5x.dta,pop90,float64,51,4089.0; 570.0; 3750.0
Highway5x.dta,sqmiles,float64,51,52423.0; 591004.0; 114006.0
Highway5x.dta,popdens,float32,51,78.00011444091797; 0.9644604921340942; 32.89300537109375
Highway5x.dta,bondrate,object,54,AA; AA; XX
Highway5x.dta,locshr97,float32,54,0.8740118741989136; 0.4190543293952942; 0.6363505721092224
Highway5x.dta,statenam,object,54,Alabama; Alaska; Arizona
Highway5x.dta,irate,float32,54,0.051500000059604645; 0.051500000059604645; 0.07000000029802322
Highway5x.dta,totcap,float32,51,470232.0; 242000.0; 480799.0
Highway5x.dta,milrlsq,float32,51,5216594944.0; 123298816.0; 1477326080.0
Highway5x.dta,milrisq,float32,51,362404.0; 1006009.0; 974169.0
Highway5x.dta,highinf,float32,51,10686.888671875; 0.0; 9546.0244140625
Highway5x.dta,capnew,float32,51,550374.75; 0.0; 668221.6875
Highway5x.dta,totexp,float32,51,838159.75; 103604.0; 817194.6875
Highway5x.dta,lnvmtri,float32,48,8.398859977722168; 6.51767110824585; 8.538954734802246
Highway5x.dta,lnvmtrl,float32,50,9.817984580993652; 7.191429138183594; 9.068546295166016
Highway5x.dta,lnvmtui,float32,51,8.419360160827637; 6.10924768447876; 8.377241134643555
Highway5x.dta,lnvmtul,float32,51,9.821463584899902; 7.234177112579346; 9.73577880859375
Highway5x.dta,lnmilri,float32,48,6.400257587432861; 6.910750865936279; 6.894670009613037
Highway5x.dta,lnmilrl,float32,50,11.187555313110352; 9.31506061553955; 10.55674934387207
Highway5x.dta,lnmilui,float32,51,5.762051582336426; 3.9889841079711914; 5.605802059173584
Highway5x.dta,lnmilul,float32,51,9.855504989624023; 7.431299686431885; 9.684584617614746
Highway5x.dta,vmttot,float32,51,45762.0; 3841.0; 35047.0
Highway5x.dta,miletot,float32,51,92209.0; 13849.0; 55763.0
Highway5x.dta,vcri,float32,48,7.378737449645996; 0.6749750971794128; 5.177304744720459
Highway5x.dta,vcrl,float32,50,0.25421592593193054; 0.11959654092788696; 0.22577790915966034
Highway5x.dta,vcui,float32,51,14.257862091064453; 8.333333015441895; 15.98161792755127
Highway5x.dta,vcul,float32,51,0.9665320515632629; 0.821090042591095; 1.0525267124176025
Highway5x.dta,lnvcri,float32,48,1.9986025094985962; -0.3930795192718506; 1.6442846059799194
Highway5x.dta,lnvcrl,float32,50,-1.3695712089538574; -2.123631238937378; -1.4882034063339233
Highway5x.dta,lnvcui,float32,51,2.657308340072632; 2.1202635765075684; 2.7714390754699707
Highway5x.dta,lnvcul,float32,51,-0.034040845930576324; -0.1971224993467331; 0.0511937141418457
Highway5x.dta,lnrtruc,float32,48,8.729010581970215; 3.8736979961395264; 7.717548847198486
Highway5x.dta,lnutruc,float32,51,8.00124454498291; 2.553499460220337; 7.451229572296143
Highway5x.dta,rtruc,float32,51,6179.61328125; 48.12000274658203; 2247.44384765625
Highway5x.dta,ortruc,float32,48,0.000161822434165515; 0.02078137919306755; 0.00044494992471300066
Highway5x.dta,rtruc2,float32,51,38187616.0; 2315.53466796875; 5051004.0
Highway5x.dta,utruc,float32,51,2984.669921875; 12.85200023651123; 1721.9791259765625
Highway5x.dta,outruc,float32,51,0.00033504542079754174; 0.07780890166759491; 0.0005807271227240562
Highway5x.dta,utruc2,float32,51,8908255.0; 165.1739044189453; 2965212.0
Highway5x.dta,rtrusing,float32,51,16.899999618530273; 39.70000076293945; 26.0
Highway5x.dta,rtrus,float32,51,3853.70703125; 795.9849853515625; 3584.8798828125
Highway5x.dta,ortrus,float32,48,0.0002594904217403382; 0.0012563050258904696; 0.0002789493591990322
Highway5x.dta,rtrus2,float32,51,14851057.0; 633592.125; 12851365.0
Highway5x.dta,utrus,float32,51,3283.136962890625; 260.7120056152344; 7057.98828125
Highway5x.dta,outrus,float32,51,3283.136962890625; 260.7120056152344; 7057.98828125
Highway5x.dta,utrus2,float32,51,10778989.0; 67970.7421875; 49815196.0
Highway5x.dta,rcar,float32,51,12769.6796875; 1160.89501953125; 7955.67626953125
Highway5x.dta,orcar,float32,51,12769.6796875; 1160.89501953125; 7955.67626953125
Highway5x.dta,rcar2,float32,51,163064720.0; 1347677.25; 63292784.0
Highway5x.dta,ucar,float32,51,16691.19140625; 1562.4359130859375; 12479.033203125
Highway5x.dta,oucar,float32,51,16691.19140625; 1562.4359130859375; 12479.033203125
Highway5x.dta,ucar2,float32,51,278595904.0; 2441206.25; 155726272.0
Highway5x.dta,lnrmgt4,float32,33,1.0986123085021973; 5.655992031097412; 3.044522523880005
Highway5x.dta,lnrmle4,float32,48,6.400257587432861; 6.910750865936279; 6.894670009613037
Highway5x.dta,lnumgt4,float32,46,3.761200189590454; 2.3025851249694824; 3.9889841079711914
Highway5x.dta,lnumle4,float32,51,5.537334442138672; 3.7841897010803223; 4.9972124099731445
Highway5x.dta,lnmigt4,float32,46,3.761200189590454; 2.3025851249694824; 3.9889841079711914
Highway5x.dta,lnmile4,float32,51,6.752270221710205; 6.953684329986572; 7.034388065338135
Highway5x.dta,miles,float32,51,92209.0; 13849.0; 55763.0
Highway5x.dta,traffic,float32,51,45762.0; 3841.0; 35047.0
Highway5x.dta,purbmil,float32,51,0.21018555760383606; 0.12578526139259338; 0.2930258512496948
Highway5x.dta,umiles,float32,51,19381.0; 1742.0; 16340.0
Highway5x.dta,rmiles,float32,51,72828.0; 12107.0; 39423.0
Highway5x.dta,mill,float32,51,91289.0; 12792.0; 54504.0
Highway5x.dta,lnmill,float32,51,11.421785354614258; 9.456575393676758; 10.90602970123291
Highway5x.dta,mili4,float32,51,856.0; 1047.0; 1135.0
Highway5x.dta,mili5,float32,51,43.0; 10.0; 54.0
Highway5x.dta,lnmili4,float32,51,6.752270221710205; 6.953684329986572; 7.034388065338135
Highway5x.dta,lnmili5,float32,46,3.761200189590454; 2.3025851249694824; 3.9889841079711914
Highway5x.dta,pfwy,float32,51,0.009977334178984165; 0.07632320374250412; 0.022577695548534393
Highway5x.dta,lnpfwy,float32,51,-4.6074395179748535; -2.5727782249450684; -3.79079270362854
Highway5x.dta,uwidth,float32,51,3.4343433380126953; 3.555555582046509; 3.8019802570343018
Highway5x.dta,rwidth,float32,48,3.0; 3.0; 3.0
Highway5x.dta,width,float32,51,2.227686882019043; 2.276698589324951; 2.3341174125671387
Highway5x.dta,lnuwidth,float32,51,1.23382568359375; 1.2685112953186035; 1.3355220556259155
Highway5x.dta,lnrwidth,float32,48,1.0986123085021973; 1.0986123085021973; 1.0986123085021973
Highway5x.dta,purbtraf,float32,51,0.5017044544219971; 0.4780005216598511; 0.6065854430198669
Highway5x.dta,urbtraf,float32,51,22958.998046875; 1835.9998779296875; 21259.0
Highway5x.dta,rurtraf,float32,51,22803.0; 2005.0; 13788.0
Highway5x.dta,ptruck,float32,51,0.35621535778045654; 0.2909838557243347; 0.41693413257598877
Highway5x.dta,truck,float32,51,16301.126953125; 1117.6689453125; 14612.291015625
Highway5x.dta,urbtruck,float32,51,6267.806640625; 273.5639953613281; 8779.9677734375
Highway5x.dta,rurtruck,float32,51,10033.3203125; 844.10498046875; 5832.32373046875
Highway5x.dta,miles2,float32,51,8502499840.0; 191794800.0; 3109512192.0
Highway5x.dta,traffic2,float32,51,2094160640.0; 14753281.0; 1228292224.0
Highway5x.dta,rvc,float32,48,0.5405070781707764; 0.02852458693087101; 0.19933797419071198
Highway5x.dta,uvc,float32,51,1.2898081541061401; 0.5954234004020691; 2.049684524536133
Highway5x.dta,auto,float32,51,29460.87109375; 2723.3310546875; 20434.708984375
Highway5x.dta,comb,float32,51,9164.283203125; 60.97200393676758; 3969.4228515625
Highway5x.dta,sing,float32,51,7136.84375; 1056.697021484375; 10642.8681640625
Highway5x.dta,lnumiles,float32,51,9.872048377990723; 7.462789058685303; 9.701371192932129
Highway5x.dta,lnrmiles,float32,50,11.195856094360352; 9.401538848876953; 10.582104682922363
Highway5x.dta,lnauto,float32,51,10.290818214416504; 7.909611225128174; 9.924989700317383
Highway5x.dta,lncomb,float32,51,9.123068809509277; 4.110414981842041; 8.286375999450684
Highway5x.dta,lnsing,float32,51,8.873025894165039; 6.9629034996032715; 9.272644996643066
Highway5x.dta,lnpurbm,float32,51,-1.5597645044326782; -2.073179006576538; -1.227494478225708
Highway5x.dta,lnmiles,float32,51,11.43181324005127; 9.535968780517578; 10.928865432739258
Highway5x.dta,x,float32,54,1.0; 1.0; 1.0
Highway5x.dta,mgsal93,float32,54,26441.0; 26441.0; 26441.0
Highway5x.dta,mgsal94,float32,54,27117.0; 27117.0; 27117.0
Highway5x.dta,mbcon93,float32,54,25.92609977722168; 25.92609977722168; 25.92609977722168
Highway5x.dta,mexcav93,float32,54,3.0039000511169434; 3.0039000511169434; 3.0039000511169434
Highway5x.dta,mrestl93,float32,54,0.5073999762535095; 0.5073999762535095; 0.5073999762535095
Highway5x.dta,mststl93,float32,54,0.8809000253677368; 0.8809000253677368; 0.8809000253677368
Highway5x.dta,mstcon93,float32,54,266.3110046386719; 266.3110046386719; 266.3110046386719
Highway5x.dta,mpopdens,float32,54,142.63999938964844; 142.63999938964844; 142.63999938964844
Highway5x.dta,pexcav,float32,51,0.5326408743858337; 0.6291820406913757; 1.7344119548797607
Highway5x.dta,psurf,float32,51,0.9831790924072266; 1.230034589767456; 0.8647656440734863
Highway5x.dta,pstruc,float32,51,2.622539520263672; 5.443080902099609; 3.3129754066467285
Highway5x.dta,pdens,float32,51,0.5468319654464722; 0.006761501077562571; 0.23060154914855957
Highway5x.dta,plabor,float32,51,0.946560263633728; 1.4350062608718872; 0.9453122019767761
Highway5x.dta,pconst,float32,51,4.138359546661377; 7.302297592163086; 5.912153244018555
Highway5x.dta,lnpexcav,float32,51,-0.6299078464508057; -0.4633346498012543; 0.5506684184074402
Highway5x.dta,lnpsurf,float32,51,-0.016963986679911613; 0.20704229176044464; -0.14529673755168915
Highway5x.dta,lnplabor,float32,51,-0.05492063984274864; 0.3611692190170288; -0.056240033358335495
Highway5x.dta,lnpstruc,float32,51,0.9641431570053101; 1.694345235824585; 1.1978466510772705
Highway5x.dta,lnpdens,float32,51,-0.6036137342453003; -4.9965105056762695; -1.4670639038085938
Highway5x.dta,lnpconst,float32,51,1.4202994108200073; 1.9881889820098877; 1.7770100831985474
Highway5x.dta,pkap,float32,51,5.968774795532227; 0.0; 11.983244895935059
Highway5x.dta,lnpkap,float32,48,1.7865417003631592; 2.4835093021392822; 1.3523213863372803
Highway5x.dta,lnirate,float32,54,-2.9661734104156494; -2.9661734104156494; -2.6592600345611572
Highway5x.dta,lnwidth,float32,51,0.8009637594223022; 0.8227264285087585; 0.8476338386535645
Highway5x.dta,pgt4,float32,51,0.04783092439174652; 0.00946073792874813; 0.045416317880153656
Highway5x.dta,lnpgt4,float32,46,-3.0400829315185547; -4.660604953765869; -3.091883897781372
Highway5x.dta,mpsqm,float32,48,1.758941650390625; 0.4891233742237091; 1.451468586921692
Highway5x.dta,lnmpsqm,float32,48,0.5647122859954834; -0.7151405215263367; 0.3725758492946625
